\\\\\\\\,width,height,,,,,,,,
ref_screen,640,960,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2
bg_info,bg_main_1.png,0,0,0,640,153,45,0,0,0
gold_info,0,0,121,12,161,25,50,0,0,0
crystal_info,0,0,401,12,161,25,50,0,0,0
bar_exp,bar_exp_1.png,0,237,153,371,36,20,0,0,0
bg_player,bg_main_2.png,0,0,83,640,138,15,0,0,0
name_info,0,0,256,105,160,29,50,0,0,0
icon_player,0,0,24,92,126,148,10,0,0,0
guild_player,0,0,256,161,160,29,20,0,0,0
lv_player,0,0,47,188,81,33,20,0,0,0
btn_reward,btn_79.png,btn_79_s.png,457,100,154,96,50,0,btn_label_109.png,btn_label_110.png
rate_player,0,0,238,94,166,39,20,0,0,0
bg_channel,bg_main_3.png,0,0,216,640,70,15,0,0,0
table_channel,0,0,90,238,462,47,20,0,0,0
lmore_channel,l_arrow_1.png,l_arrow_1_s.png,61,256,28,21,20,0,0,0
rmore_channel,r_arrow_1.png,r_arrow_1_s.png,552,256,28,21,20,0,0,0
bg_chat,bg_chat_1.png,0,11,286,618,234,15,0,0,0
input_channel,bg_chat_2.png,0,0,482,640,99,30,0,0,0
full_input_channel,bg_chat_2.png,0,0,740,640,99,30,0,0,0
btn_channel,btn_ichannel.png,btn_ichannel_s.png,56,508,82,47,35,0,0,0
btn_full,btn_fullchat.png,btn_fullchat_s.png,510,496,84,66,35,1,0,0
area_input,0,0,144,507,361,37,35,0,0,0
bg_main,bg_main_4.png,0,0,568,640,274,15,0,0,0
quick,icon_quick.png,icon_quick_s.png,50,601,162,104,20,0,0,0
pve,icon_pve.png,icon_pve_s.png,240,601,162,104,20,0,0,0
room,icon_room.png,icon_room_s.png,426,601,162,104,20,0,0,0
friend,icon_friend.png,icon_friend_s.png,50,716,162,104,20,0,0,0
deck,icon_deck.png,icon_deck_s.png,240,716,162,104,20,0,0,0
shop,icon_shop.png,icon_shop_s.png,426,716,162,104,20,0,0,0
bg_bottom,bg_main_5.png,0,0,805,640,155,45,0,0,0
area_bottom,0,0,51,842,536,107,50,0,0,0
lmore_bottom,l_arrow_1.png,l_arrow_1_s.png,21,884,28,21,50,0,0,0
rmore_bottom,r_arrow_1.png,r_arrow_1_s.png,587,884,28,21,50,0,0,0
exp,label_exp.png,0,253,157,43,27,40,0,0,0
chat_effect,bg_chat_3.png,0,23,297,592,119,17,0,0,0
l_bone_eye,0,0,219,117,1,1,50,0,0,0
r_bone_eye,0,0,234,117,1,1,50,0,0,0
c_bg,bg_78.png,0,99,239,445,466,50,0,0,0
c_title,text_20.png,0,168,247,306,42,55,0,0,0
c_return,btn_44.png,btn_44_s.png,492,249,40,40,55,0,0,0
c_icon,bg_79.png,0,151,305,58,57,55,0,0,0
c_alias,0,0,215,319,277,29,55,0,0,0
c_bg_check,bg_80.png,0,126,370,390,68,55,0,0,0
c_btn_check,btn_71.png,btn_71_s.png,126,370,390,68,60,0,btn_label_34.png,btn_label_35.png
c_bg_addfrd,bg_80.png,0,126,448,390,68,60,0,0,0
c_btn_addfrd,btn_71.png,btn_71_s.png,126,448,390,68,60,0,btn_label_72.png,btn_label_73.png
c_bg_fight,bg_80.png,0,126,524,390,68,60,0,0,0
c_btn_fight,btn_71.png,btn_71_s.png,126,524,390,68,60,0,btn_label_74.png,btn_label_75.png
c_bg_private,bg_80.png,0,126,600,390,68,60,0,0,0
c_btn_private,btn_71.png,btn_71_s.png,126,600,390,68,60,0,btn_label_103.png,btn_label_104.png
