注：,,,
,1.随机名称由“前缀+名字”组合而成，如“灭世安东尼”、“血色艾琳娜”等,,
,2.名字根据角色性别从男用名或女用名之间选择,,
,,,
,,,
序号,前缀,男用名,女用名
1,泰坦,亚伦,阿比盖尔
2,冰冻,亚伯,艾比
3,弑君,亚伯拉罕,艾达
4,冰河,亚当,阿德莱德
5,黎明,艾德里安,艾德琳
6,唤星者,艾登/艾丹,亚历桑德拉
7,星界,阿尔瓦,艾丽莎
8,夜幕,亚历克斯,艾米
9,暮光,亚历山大,亚历克西斯
10,破碎,艾伦,爱丽丝
11,黑翼,艾伯特,艾丽西娅
12,屠龙,阿尔弗雷德,艾琳娜
13,风神,安德鲁,艾莉森
14,炎魔,安迪,艾莉莎
15,灭世,安格斯,阿曼达
16,无惧,安东尼,艾美
17,宝库,阿波罗,安伯
18,静心,阿诺德,阿纳斯塔西娅
19,风暴,亚瑟,安德莉亚
20,地狱,奥古斯特,安琪
21,解放者,奥斯汀,安吉拉
22,专家,本,安吉莉亚
23,血色,本杰明,安吉莉娜
24,通灵,伯特,安
25,青龙,本森,安娜
26,烈酒,比尔,安妮
27,魔山,比利,安倪
28,突击,布莱克,安尼塔
29,防御,鲍伯,艾莉尔
30,治疗,鲍比,阿普里尔
31,探索者,布拉德,艾许莉
32,猎人,布兰登,欧蕊
33,博学,布兰特,阿维娃
34,破焰,布伦特,笆笆拉
35,克星者,布赖恩,芭比
36,嗜血,布朗,贝亚特
37,战斗,布鲁斯,比阿特丽斯
38,征服者,迦勒,贝基
39,审判者,卡梅伦,贝拉
40,杰出的,卡尔,贝斯
41,护火者,卡洛斯,贝蒂
42,可汗,凯里,贝迪
43,胜利者,卡斯帕,布兰奇
44,列兵,塞西,邦妮
45,下士,查尔斯,布伦达
46,中士,采尼,布莱安娜
47,军士长,克里斯,布兰妮
48,士官长,克里斯蒂安,布列塔尼
49,骑士,克里斯多夫,卡米尔
50,中慰,克拉克,莰蒂丝
51,队长,柯利弗,坎蒂
52,护卫,科迪,卡瑞娜
53,少校,科尔,卡门
54,司令,科林,凯罗尔
55,统帅,科兹莫,卡罗琳
56,元帅,丹尼尔,凯丽
57,疯狂的,丹尼,凯莉
58,十字军,达尔文,卡桑德拉
59,唤醒者,大卫,凯西
60,农夫,丹尼斯,凯瑟琳
61,痴情者,德里克,凯茜
62,酒仙,狄克,切尔西
63,贵族,唐纳德,沙琳
64,不朽者,道格拉斯,夏洛特
65,永恒者,杜克,切莉
66,银色,迪伦,雪莉尔
67,阿达尔之,埃迪,克洛伊
68,十雷,埃德加,克莉丝
69,煞星,爱迪生,克里斯蒂娜
70,战神,艾德蒙,克里斯汀
71,语言,爱德华,克里斯蒂
72,预言,艾德文,辛迪
73,医师,艾略特,克莱尔
74,刺客,埃尔维斯,克劳迪娅
75,宗师,埃里克,克莱门特
76,狮心,伊桑,克劳瑞丝
77,暗矛,柳真,康妮
78,,埃文,康斯坦斯
79,,福特,科拉
80,,弗兰克思,科瑞恩
81,,弗兰克,科瑞斯特尔
82,,富兰克林,戴茜
83,,弗瑞德,达芙妮
84,,加百利,达茜
85,,加比,戴夫
86,,加菲尔德,黛比
87,,加里,黛博拉
88,,加文,黛布拉
89,,杰弗里,黛米
90,,乔治,黛安娜
91,,基诺,德洛丽丝
92,,格林,堂娜
93,,格林顿,多拉
94,,哈帝,桃瑞丝
95,,哈里森,伊迪丝
96,,哈利,伊迪萨
97,,海顿,伊莱恩
98,,希尔顿,埃莉诺
99,,雨果,伊丽莎白
100,,汉克,埃拉
101,,霍华德,爱伦
102,,亨利,艾莉
103,,伊恩,艾米瑞达
104,,伊格纳缇伍兹,艾米丽
105,,伊凡,艾玛
106,,艾萨克,伊妮德
107,,艾塞亚,埃尔莎
108,,杰克,埃莉卡
109,,杰克逊,爱斯特尔
110,,雅各布,爱丝特
111,,詹姆士,尤杜拉
112,,詹森,伊娃
113,,杰伊,伊芙
114,,杰弗瑞,伊夫林
115,,杰罗姆,芬妮
116,,杰瑞,费怡
117,,杰西,菲奥纳
118,,吉姆,福罗拉
119,,吉米,弗罗伦丝
120,,乔,弗郎西丝
121,,约翰,弗雷德里卡
122,,乔尼,弗里达
123,,乔纳森,吉娜
124,,乔丹,吉莉安
125,,约瑟夫,格拉蒂丝
126,,约书亚,格罗瑞娅
127,,贾斯汀,格瑞丝
128,,凯斯,格瑞塔
129,,肯,格温多琳
130,,肯尼迪,汉娜
131,,肯尼斯,海莉
132,,肯尼,赫柏
133,,凯文,海伦娜
134,,凯尔,海伦
135,,兰斯,汉纳
136,,拉里,海蒂
137,,劳伦特,希拉里
138,,劳伦斯,英格丽德
139,,利安德尔,伊莎贝拉
140,,李,爱沙拉
141,,雷欧,艾琳
142,,雷纳德,艾丽丝
143,,利奥波特,艾维
144,,莱斯利,杰奎琳
145,,劳瑞,小玉
146,,劳瑞恩,詹米
147,,路易斯,简
148,,卢克,珍妮特
149,,马库斯,贾斯敏
150,,马西,姬恩
151,,马克,珍娜
152,,马科斯,詹妮弗
153,,马尔斯,詹妮
154,,马歇尔,杰西卡
155,,马丁,杰西
156,,马文,姬尔
157,,梅森,琼
158,,马修,乔安娜
159,,马克斯,乔斯林
160,,迈克尔,乔莉埃特
161,,米奇,约瑟芬
162,,麦克,乔茜
163,,内森,乔伊
164,,尼尔,乔伊斯
165,,尼尔森,朱迪丝
166,,尼古拉斯,朱蒂
167,,尼克,朱莉娅
168,,诺亚,朱莉安娜
169,,诺曼,朱莉
170,,奥利弗,朱恩
171,,奥斯卡,凯琳
172,,欧文,卡瑞达
173,,帕特里克,凯特
174,,保罗,卡蒂
175,,彼得,卡特里娜
176,,菲利普,凯
177,,菲比,凯拉
178,,昆廷,凯尔西
179,,兰德尔,特里娜
180,,伦道夫,基蒂
181,,兰迪,莱瑞拉
182,,雷,蕾西
183,,纳撒尼尔,劳拉
184,,列得,罗兰
185,,雷克斯,莉娜
186,,理查德,莉迪娅
187,,里奇,莉莲
188,,瑞利,莉莉
189,,罗伯特,琳达
190,,罗宾,琳赛
191,,鲁宾逊,丽莎
192,,洛克,莉兹
193,,罗杰,洛拉
194,,罗纳德,罗琳
195,,罗文,路易莎
196,,罗伊,路易丝
197,,赖安,露西娅
198,,萨姆,露茜
199,,萨米,露西妮
200,,塞缪尔,露露
201,,斯考特,林恩
202,,肖恩,玛佩尔
203,,晓恩,马德琳
204,,西德尼,玛姬
205,,西蒙,玛米
206,,所罗门,曼达
207,,斯帕克,曼迪
208,,斯宾塞,玛格丽特
209,,斯派克,玛丽亚
210,,斯坦利,玛丽莲
211,,史蒂夫,玛莎
212,,史蒂文,梅维丝
213,,斯图尔特,玛丽
214,,斯图亚特,玛蒂尔达
215,,特伦斯,莫琳
216,,特里,玛克辛
217,,泰德,梅
218,,提姆,梅米
219,,蒂莫西,梅甘
220,,托德,梅琳达
221,,汤米,梅利莎
222,,汤姆,美洛蒂
223,,托马斯,默西迪丝
224,,托尼,梅瑞狄斯
225,,泰勒,米娅
226,,奥特曼,米歇尔
227,,尤利塞斯,米莉
228,,范,米兰达
229,,弗恩,米里亚姆
230,,弗农,茉莉
231,,维克多,莫尼卡
232,,文森特,摩根
233,,华纳,南茜
