\\\\\\\\,width,height,,,,,,,,
ref_screen,640,960,,,,,,,,
key,filename1,filename2,x_psd,y_psd,width,height,z_order,is_toggle,label_1,label_2
bg,bg_24.png,0,13,84,617,873,15,0,0,0
right_up,bg_24_right_up.png,0,487,100,142,79,40,0,0,0
return,btn_28.png,btn_28_s.png,476,84,154,118,30,0,0,0
title,0,0,234,109,169,34,20,0,0,0
bg_notice,bg_88.png,0,102,202,440,143,45,0,0,0
title_notice,0,0,172,212,300,27,50,0,0,0
area_notice,0,0,125,255,390,70,50,0,0,0
bg_btn_list,bg_77.png,0,77,346,489,62,45,0,0,0
btn_list,btn_70.png,btn_70_s.png,238,350,164,55,50,0,btn_label_46.png,btn_label_47.png
bg_detail,bg_89.png,0,102,412,440,180,50,0,0,0
master_tip,0,0,117,440,83,28,55,0,0,0
master_bg,bg_90.png,0,203,437,311,34,55,0,0,0
master_area,0,0,217,441,285,25,60,0,0,0
num_tip,0,0,117,489,83,28,55,0,0,0
num_bg,bg_90.png,0,203,485,311,34,55,0,0,0
num_area,0,0,217,497,285,25,60,0,0,0
fund_tip,0,0,117,538,83,28,55,0,0,0
fund_bg,bg_90.png,0,203,534,311,34,55,0,0,0
gold_icon,icon_11.png,0,222,532,32,36,60,0,0,0
gold_area,0,0,258,546,104,26,60,0,0,0
crystal_icon,icon_13.png,0,364,532,32,36,60,0,0,0
crystal_area,0,0,398,546,104,26,60,0,0,0
btn_member,btn_69.png,btn_69_s.png,107,609,128,58,50,0,btn_label_48.png,btn_label_49.png
btn_apply,btn_69.png,btn_69_s.png,257,609,128,58,50,0,btn_label_50.png,btn_label_51.png
btn_stock,btn_69.png,btn_69_s.png,407,609,128,58,50,0,btn_label_52.png,btn_label_53.png
btn_invest,btn_69.png,btn_69_s.png,107,686,128,58,50,0,btn_label_56.png,btn_label_57.png
btn_welfare,btn_69.png,btn_69_s.png,257,686,128,58,50,0,btn_label_58.png,btn_label_59.png
btn_dismiss,btn_69.png,btn_69_s.png,407,686,128,58,50,0,btn_label_60.png,btn_label_61.png
btn_quit,btn_69.png,btn_69_s.png,407,686,128,58,50,0,btn_label_66.png,btn_label_67.png
pop_bg,bg_91.png,0,99,239,445,292,65,0,0,0
pop_title,text_20.png,0,168,247,306,42,70,0,0,0
pop_return,btn_44.png,btn_44_s.png,492,249,40,40,70,0,0,0
pop_tip_area,0,0,127,341,390,37,70,0,0,0
pop_btn_bg,bg_80.png,0,127,425,390,68,70,0,0,0
pop_btn,btn_71.png,btn_71_s.png,127,425,390,68,75,0,btn_label_64.png,btn_label_65.png
